voce del verbo,forma,modo,tempo,persona,coniugazione,forma verbale,traduzione
audio,passiva,indicativo,futuro,1a plu.,quarta,audiemur,noi saremo ascoltati
audio,passiva,indicativo,futuro,2a plu.,quarta,audiemini,voi sarete ascoltati
audio,passiva,indicativo,futuro,3a plu.,quarta,audientur,essi saranno ascoltati
capio,passiva,indicativo,futuro,1a sing.,mista,capiar,io sarò preso
capio,passiva,indicativo,futuro,2a sing.,mista,capieris,tu sarai preso
capio,passiva,indicativo,futuro,3a sing.,mista,capietur,egli sarà preso
capio,passiva,indicativo,futuro,1a plu.,mista,capiemur,noi saremo presi
capio,passiva,indicativo,futuro,2a plu.,mista,capiemini,voi sarete presi
capio,passiva,indicativo,futuro,3a plu.,mista,capientur,essi saranno presi
sum,attiva,indicativo,futuro,1a sing.,propria,ero,io sarò
sum,attiva,indicativo,futuro,2a sing.,propria,eris,tu sarai
sum,attiva,indicativo,futuro,3a sing.,propria,erit,egli sarà
sum,attiva,indicativo,futuro,1a plu.,propria,erimus,noi saremo
sum,attiva,indicativo,futuro,2a plu.,propria,eritis,voi sarete
sum,attiva,indicativo,futuro,3a plu.,propria,erunt,essi saranno
